id,win,assists,basicPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,deaths,detectorWardsPlaced,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorsLost,inhibitorTakedowns,itemsPurchased,killingSprees,kills,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,summonerLevel,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretsLost,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced
NA14471596106,1,47,106.0,16,20789.0,70027,33,5,60346,55175,TOPJUNGLEMIDDLEBOTTOMUTILITY,1,0.0,4.0,103,12,44,20,1765,200602,42987,10279,205,387381,49562,85094,2404,97,619173,100147,1664,107011,28528,4281,531,1134,795,31186,7596,11633,6,15.0,114,7,16,59
NA14471622832,0,59,136.0,21,12749.0,52788,48,10,67833,60835,TOPJUNGLEMIDDLEBOTTOMUTILITY,0,10.0,0.0,127,8,36,11,2016,170174,35334,43514,179,476488,62151,95329,1494,121,724189,104309,6316,145223,38092,4011,649,822,1228,77524,6819,6376,6,50.0,159,12,25,69
NA14471622832,1,51,73.0,32,20107.0,76757,36,14,73520,66025,TOPJUNGLEMIDDLEBOTTOMUTILITY,2,0.0,5.0,136,12,48,19,3188,257730,41336,37368,209,544493,67849,96490,1762,141,859709,114993,0,143728,22055,482,717,1024,1262,57482,5802,9865,9,30.0,221,17,29,72
NA14472628442,0,44,54.0,21,19450.0,41850,55,8,71388,70250,TOPJUNGLEMIDDLEBOTTOMUTILITY,0,10.0,0.0,133,8,42,18,2860,88522,37765,84669,179,570833,64315,89307,1726,116,730848,121326,6188,192172,34002,409,629,921,1896,71487,19242,18192,7,45.0,173,10,22,78
NA14472628442,1,59,95.0,28,18055.0,101456,43,12,78306,69975,TOPJUNGLEMIDDLEBOTTOMUTILITY,2,0.0,4.0,156,11,55,21,2250,363060,82794,40651,236,404136,58044,84166,2272,164,858454,158501,468,150063,25612,0,596,1619,1214,91257,17659,25241,8,35.0,160,15,26,60
NA14472740068,0,33,78.0,22,14764.0,56125,35,11,63129,60385,TOPJUNGLEMIDDLEBOTTOMUTILITY,0,10.0,0.0,118,6,31,18,4379,154317,27774,24747,207,580997,80478,108399,1948,179,820617,119244,7377,144118,44071,7615,683,1485,1110,85300,10989,10966,6,55.0,160,11,15,73
NA14472740068,1,52,50.0,20,25217.0,94978,31,4,73866,66105,TOPJUNGLEMIDDLEBOTTOMUTILITY,2,0.0,7.0,116,6,35,18,3094,160332,22662,29201,186,665042,84149,110447,3063,184,853812,117435,1608,150643,48216,8246,763,2030,981,28434,10618,10988,11,30.0,114,5,20,46
NA14472764656,0,55,105.0,16,17962.0,79167,37,5,79060,84075,TOPJUNGLEMIDDLEBOTTOMUTILITY,0,5.0,0.0,131,7,38,17,4846,203673,51954,70139,243,800794,100285,101108,1552,259,1061250,163726,0,186622,61973,578,876,2463,1440,56778,11485,15369,7,40.0,205,5,31,68
NA14472764656,1,46,205.0,37,22061.0,125417,38,17,86580,79560,TOPJUNGLEMIDDLEBOTTOMUTILITY,1,0.0,3.0,140,9,37,17,2779,557134,67310,55361,269,537021,64949,133248,1113,172,1167386,146622,0,200098,52823,2320,933,2726,1591,73225,14358,11484,8,35.0,288,13,21,103
NA14473095806,0,122,1.0,5,8636.0,8636,57,0,67957,64050,InvalidInvalidInvalidInvalidInvalid,1,10.0,5.0,98,12,42,11,871,218688,92424,95384,0,99516,32698,45783,1757,208,335476,137518,6333,148069,25965,637,235,1360,1390,17269,12393,6897,3,20.0,0,0,0,0
NA14473095806,1,134,2.0,7,10472.0,10472,42,0,73292,64850,InvalidInvalidInvalidInvalidInvalid,2,5.0,6.0,100,18,57,16,1077,229090,95385,92424,0,107979,38177,47328,1859,187,357976,143211,3266,155411,49430,3115,224,1029,1064,20902,9644,15654,4,15.0,0,0,0,0
NA14473128894,0,64,11.0,5,2630.0,2630,43,0,54493,53833,InvalidInvalidInvalidInvalidInvalid,0,5.0,0.0,81,6,25,10,803,147973,64014,98831,0,65076,14753,9390,1319,169,225718,81819,0,115309,12035,688,187,1046,996,12664,3049,7084,1,20.0,0,0,0,0
NA14473128894,1,112,3.0,8,10281.0,10281,28,0,59884,50470,InvalidInvalidInvalidInvalidInvalid,1,0.0,2.0,62,9,43,27,1441,211839,98831,64013,0,19769,6063,29735,1532,197,248991,111983,3155,96802,45845,8573,162,1091,626,17380,7085,3048,4,5.0,0,0,0,0
NA14473143690,0,80,0.0,7,2802.0,2802,45,0,72376,67185,InvalidInvalidInvalidInvalidInvalid,0,5.0,0.0,72,13,41,16,1432,252575,97866,82921,0,75831,25374,39510,1649,141,336970,126096,1282,127847,35521,5995,267,1014,1120,8559,2854,5411,1,20.0,0,0,0,0
NA14473143690,1,105,0.0,7,10293.0,10293,41,0,75005,72370,InvalidInvalidInvalidInvalidInvalid,1,0.0,3.0,88,12,45,12,1358,172488,82920,97866,0,158144,34663,32592,1590,86,340088,122999,0,133315,35426,6908,264,528,1024,9453,5412,2853,4,5.0,0,0,0,0
NA14473144893,0,50,165.0,24,16021.0,48741,48,16,62724,59768,TOPJUNGLEMIDDLEBOTTOMUTILITY,0,15.0,0.0,131,8,36,11,2676,293639,71909,60362,172,326531,45802,97152,1310,101,654056,121675,315,166105,31548,1670,568,1192,1590,33883,3960,8589,4,50.0,134,17,6,84
NA14473144893,1,67,69.0,10,23304.0,73994,37,3,70144,63125,TOPJUNGLEMIDDLEBOTTOMUTILITY,3,0.0,8.0,95,12,48,15,2553,287590,58591,73574,199,368583,69902,70939,1340,128,705808,137085,0,148492,42270,3993,561,1692,1237,49631,8588,3975,10,20.0,128,5,18,55
NA14473204830,0,18,29.0,18,4419.0,17593,39,5,49218,47253,TOPJUNGLEMIDDLEBOTTOMUTILITY,0,15.0,0.0,99,4,20,7,2699,276561,50708,38983,170,281698,29890,81582,1639,99,588670,86510,1161,132989,25851,512,582,1212,1293,30406,5908,12420,1,55.0,114,5,11,49
NA14473204830,1,41,54.0,14,24849.0,104785,20,6,64337,57500,TOPJUNGLEMIDDLEBOTTOMUTILITY,3,0.0,6.0,96,8,39,19,2969,208338,36912,53218,192,498938,56732,56998,1683,201,760510,105567,1848,116128,48944,14940,635,863,611,53229,11919,5907,11,5.0,116,6,9,48
NA14473672986,0,43,68.0,12,8243.0,25027,29,3,45282,43380,TOPJUNGLEMIDDLEBOTTOMUTILITY,0,5.0,0.0,95,5,22,12,2576,109493,17421,18943,115,270927,48511,82919,1238,142,409502,73702,263,109684,26963,945,486,1421,742,29080,7767,7816,2,35.0,97,4,21,53
NA14473672986,1,56,141.0,16,18991.0,60469,23,9,49065,44400,TOPJUNGLEMIDDLEBOTTOMUTILITY,1,0.0,4.0,86,7,28,14,3762,97643,18053,18447,135,364197,61566,71566,1082,144,503494,87466,8729,99271,17139,4037,505,1945,730,41650,7843,9255,7,10.0,116,10,17,52
NA14473840806,0,66,251.0,24,23279.0,94854,48,9,82162,79775,TOPJUNGLEMIDDLEBOTTOMUTILITY,2,5.0,6.0,123,15,46,14,3114,232818,52536,46137,236,616643,84915,118914,624,497,913180,158317,3069,193242,48156,1209,704,2054,1780,63713,20860,28185,8,40.0,218,9,24,91
NA14473840806,1,75,151.0,41,19215.0,71025,46,15,85594,82235,TOPJUNGLEMIDDLEBOTTOMUTILITY,1,10.0,3.0,150,13,48,15,3150,278323,43558,54373,216,712118,92635,105111,577,155,1042933,161134,5181,181550,47467,922,795,1424,1832,52488,24936,22062,8,45.0,194,16,19,93
NA14474446237,0,25,82.0,18,6370.0,10098,44,7,50071,47475,TOPJUNGLEMIDDLEBOTTOMUTILITY,0,10.0,0.0,97,7,25,7,2542,161350,26236,30518,119,279457,38545,69846,1624,105,494901,74141,0,108179,11295,604,543,1355,1281,54089,9356,7811,2,50.0,110,9,15,50
NA14474446237,1,37,33.0,21,24297.0,83063,25,8,61413,55408,TOPJUNGLEMIDDLEBOTTOMUTILITY,2,0.0,5.0,117,11,44,21,3355,217494,29120,27322,183,395015,52194,65608,1605,83,656873,89130,0,102661,33124,301,590,1136,793,44361,7811,9727,10,10.0,140,8,14,52
NA14474459387,0,15,27.0,13,7507.0,21320,34,4,34526,29900,TOPJUNGLEMIDDLEBOTTOMUTILITY,0,10.0,0.0,72,3,14,6,1907,93572,21021,9377,86,146232,18461,55726,1360,75,292855,44024,891,78232,15072,410,375,564,820,53046,4535,13125,2,50.0,63,5,7,30
NA14474459387,1,40,27.0,18,21053.0,47821,14,7,48527,38600,TOPJUNGLEMIDDLEBOTTOMUTILITY,1,0.0,2.0,102,6,34,20,2155,37843,8536,21525,130,334030,40947,34719,1552,53,441083,62613,1985,61126,15501,6579,426,685,266,69206,13128,4877,10,10.0,60,9,8,30
NA14474886738,0,17,34.0,17,1819.0,21164,43,8,35979,37173,TOPJUNGLEMIDDLEBOTTOMUTILITY,0,10.0,0.0,83,5,16,7,1863,122608,25568,24354,64,164304,26273,60271,1277,93,309272,54534,1067,92998,8102,342,402,1694,945,22356,2690,8367,0,50.0,69,8,9,43
NA14474886738,1,48,32.0,14,25192.0,57466,16,8,53514,47558,TOPJUNGLEMIDDLEBOTTOMUTILITY,2,0.0,4.0,89,7,43,28,3268,170518,24195,27838,171,295541,48482,49385,1604,91,504709,81047,64,80915,28705,4850,485,980,344,38646,8367,3689,10,0.0,114,8,18,45
NA14475546840,0,10,39.0,14,5062.0,11952,29,2,34087,32925,TOPJUNGLEMIDDLEBOTTOMUTILITY,0,0.0,0.0,80,2,8,2,2353,106960,19578,31454,100,232987,28725,36102,1496,64,364314,50619,525,73365,8246,395,466,549,783,24361,2312,5805,0,30.0,64,3,5,32
