id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel,region
TfIXEYIJy8vFmWnzw89elf1AKwl-l40ffC0oumlnZfVz2YblmIcXPFBGrw,vQ1ZL0i9yMD_jm_p35lLXntYuO16NxG6jwOwYOLmA3T8Yi8-IzK-AXD1,leBBXsWwq-757raHXLr7nt1kSN97TYDa0vckOkB399ARLvnPEWhQPrW9vhwnGDrci0msk3462YOnog,Abbedagge,29,1624741293000,30,EUW1
wzMnLyfyGWxjKpYdVHDxMclfFwgAfJzlWnDBMwrKpsyy_5qa_hUZ-SBEBA,I5rcCKjjiio5zH57msp901WNUlLAcL99dxITDkWbvSGJt43ryrmOEPF-,UeoL8JRQAgdmGsWzGz2wTxGx1ZWKHkSlhWVXNoTTeg8ZueSTTZIw-L6e2DWTBeJt2UbwpKycjZYl2A,F B I ,682,1666336164000,31,OC1
ZMZfleuf6M9lxFXkDyDCUd3ub_tSlW4ekJjzqoA6X8tnVaE,ymFtT8JleLTY7_3fWPx6PRRA9_lSN-fzdvgLvs7ZoQA78nc,9tFCpsJby9xnSDapsIN29dTf9DKV_tMyEI43nSy8e90Z4aq1UrLyS4tjrsuEBBMamxZiehJ3NO82FQ,huhi,3591,1667809059000,419,NA1
6sqPZ_94nAr_WhyTL1Gj1XOpM9yLaZWpdTn_sQnI1qCWGHM,dVTcARQAbPjn03vuOzowqsUDFsmBlgMW-CzLJGQE9yMtTA,_hTdgQ7E3bbfUcFcpzigKN8dfrVgWGz5B7WPlc-6I6O_TuiXszg-aoC3Nm5gmEjr3YE5BsNrSOQvwA,Wunder,563,1620149723000,30,EUW1
3tybmPsXjbl5t-k4H7Us6j8CcStg3jbptJz7ABSthXmyNE0,gTjznRYKOzdgSgz0s0ecTRn_yws-BGHibbqu9kbIPgb9Aw,h0E-lkUrWGd9IBW0DbYWkx5ET-TEATeYsCV02a4blfe2NBolypD7enURWEzr3EkwRFQhFqaJBQHTvw,Razork,3186,1662500792000,155,EUW1
YYAlLLvwI-EIxivQVUJVyeSaLUaAoE-4SB5u0mdgvtJRqq_R,Hjh0eu3kO2_Mybm5dG76XiQ9aMxWuInFx6G-LNjKJCUNHNFqCjQtioVE,dNvWmu69FexT-Cy0VicyGeAqDTsqEmlvFCLFNx57cbdV3gdzujDwa2NUypOKWYVmBXC7IAZbISwwZA,Humanoid,5227,1666561336000,31,EUW1
aA24CTYe-jxKHYWKuri3gSZuH0It4SflTnrq1FSTAmOSWfo,72Hni3B5BIlg67kzMIqsEh0avHBdFRPiaSHPHQQ2zV8Uj9U,PfWM-q5DDIWwG1n4SKj8KVMsRUSki6XedWqSEfH41BUPVFzLEoAeadPiMNL-TPUOS9pt5ZOc5Dg0qg,Upset,5331,1667759512000,483,EUW1
75PEZx4JaqkNnXPFZZ2TMJL7TE2xg0nmm6SwMepnhOZyGIdF,OLeo7CG39d-7V0tYPi3iCAlc2G1_umvXVnKbxgAVEUvwAvQ,3C2_Fe0doiGlchuOJB0ZRme9PtRQ_Uzaa-lHpujuwFlHWWzK9xInxDXlgyfvLhAVLJ4O8XlEuKYmEw,Hylissang,4777,1656686669000,69,EUW1
73uVAWNsy1BvQcTzP_0sng61BkpFZjSoTfsJuL_Vz5gHG9Y,8N-YDFaJklfDnGOnJ7ocySUpb3i3xh5XFHbu9Z2GJ7XVxg,SVVD2JUWtG-6szOpS21mZLZgetmu-xZEgptwRFT63bp4Y-q-zDKTbCsYGBzvy4VZGeSQaB56RLv0aQ,beansu,505,1667505441000,580,EUW1
wlJC4nCR25XCSPDONKtsB75Nlz5fCmPi2PBWvkSSiOuss0k,QlC3-dXlfdPvnzLEzYHCiMcG4xnrXukdDjmrqwjHypoj55A,M4vCPlo5Jo-1A2JiC7UAEyJibDFhHjO8FmCxMEBiuOYOFC6ye4-N9YfZtNhhHPq4uqtnwCVtoe7T_Q,Kingen,4474,1663939544000,716,KR
FUKkoe-qnc0caVX1jf7rjL6p-Bgk4a7eFB7fag3Fo5PeuCs,PVNmwSUmw8gz4tsbk8kTS7jG13DYlIH7pPnITaTRjTswUlu6-1KGB2vz,hdKPNnz381drZruSxjbxSRMzUaafQVmvm3BC8gyVbWSzr0s6j1h2XA5mN8uvw1-yQWxtprFreRWhtQ,Pyosik,4803,1667803871000,174,KR
kptUTd7hSfdbS0vQ2ga8Ce8fXxzpggZu6nzt7vyE798jJ1Y,ee2l65At3Jr59vFiUc43G2qNsKNpPDnVqTwoPSEW3kvUiTg,VmfiYvRqg1LxUUt5C5_GJ7yfix1wbbtLNLJF-ucRnXj8pnJJBYcybkQtojFxNAqkTFDTRoY5HxrCnQ,ZeKa,3587,1665747861000,56,KR
Q3N_ECthsTNJ2l8IORgDzZoTGeCT9SxwS638P0nU1BexxSs,Ksty7UXe-FtceWjl6tvQdxHGgbQoopU4S1ujiGbkfREeMpBG_M3DgcQe,Jzv_TCJVeqwcg0WFAqLU91OucHEF2g8GNbLcKEb-5ynn_SlkDenFilm0g28bm7C1Lk2QLfeyz6qkjw,Deft,5508,1667379330000,333,KR
62c-9jGLywcW8hpBSwo0Ud_N_og2AkpnBcjYimAahwA_1D07,lUUcWYxUvSGybFLb1IBiJXP57Wyp4mmkg4cs83St08iZy-tXwKcIYpSM,WzDVCf55kiqGQyzXbPV5oBj9zrux6w4L6qMRrG8YNsfD8yGAABx93P1uLvyWArJWNtZrw08GjJR-ug,Beryl,4691,1652345473000,14,KR
mbvxD2QX6Vhpw4AJ0z8W_3BlaV8q-mNuvoy9z4P08e7zayI,EwWn34rlyREwRPhpSPagXGDkHMfq5SEpGv8WBWA7UaMobc4Wdrzk1yVA,56F9PE16EeyMTAkyJh0atyTc--BwuYpYiKdEboOlHW_RWJjWF3Q8ILTRQVYw3kVIKNbQbe7OaV7v8w,juhan,1,1628414903000,16,KR
wBo4cwjNuFxBi-TPPJe8HwLEafRI_a7Abtwbfn_sla1IxWc,U88Hghayb22PWTVw6UE8KNQtQMsSnBnW6s6IrW52T8P--hk,fTTdwptOfncuMTeHOII2jkGf3LrmTkA4UtkYiBajwkHhXKMSP1WqOwOMnZnmrZ_wZWaCZpX9vds8OQ,Tae Yoon,589,1667475938000,185,KR
dFx2UAevEVMT1L8TnysNpn6FE2K-_d5LfwSYldubdEDmtA4,og6ySDHcgO35Fi6JFaMIIxkKqq-S5BFrBDQMeNJ7cGe8Ncs,w7BofkwMmiJg_ZtA38ldr-uEaCEALSYXsiF6R_3o_RN2Kb27qQ5E7h2sQZASwVYy7e_k5LKP3NZB3g,Impact,4154,1652223325000,37,NA1
17RaTFVTOV4cta9hft3YjOYhNS3E9uOPcSbENIraYYWBwJXbHV5VwF4XJQ,XXdI3ubEB7zoFGpcqu_sAtrQgKluhmfMy3RpF3v2ITqs5X_NEmMwIUGV,lpWuF3lU4-hotbfypka1WVi9MShlKm45JZKjbxFZ4fiGsy2plTvUdwR3WolDbQalxPYAfE8zI8q9SQ,inspired,907,1656950266000,9,EUW1
hz-wtJhYqI9fjrTiK5VcBumEWdCFo7wYYPGY-zY_Efktcmc,S4UmB1_xjwpXuUs71Gg6-wkNfbv_xkoAcTmy-_5RXo_5iG0y3bSdxlD0,GfLn1FtBt8JoKecReOCz70stuUTLhmEbpNBQBfRZw8232VbeO8aXuueniNGlJn2AOr7-CJjdZmHYuQ,Jojopyun,5408,1667447719000,80,NA1
NWAftvEUVIIjh7Dw-WyYwFbf2r2u4XRouFK2s_-903iXng,2AwLCrSvZz9yuh3YyK3sZPRCU32vwXHRgYW-dx4tKe7NSoA,ai-Uw6L-98NVoBSn9YVKZX2UDlaRSI8v3pNgXSjX-j8J1TzL_IfHPe72tH1J15Lwa9v94gctZr55aQ,Kaori,5419,1666023814000,162,TR1
BdUjtGj4qVFs6qYMe0qc7IBmhvbe7I4P8uKTW0r04I__HVQ,0AAsC26u1YsEJT2vgbywsNTinzHX8dcPPBzAcyn2AIRyMUM,GxsIU31vLhRr7r3wso3ACg2jI1YsnsNNFhzWfMaCH5S5q28XcOLSps1EE2zvuFpOc3susWlpsJJD-w,Vulcan,4850,1664682648000,150,NA1
